"","theta","k","delta.prop","theta_trt","DNN_power","t_power","wil_power","MMD_power","LRT_power","T2_power","DNN_validation_hour"
"1",1,0.2,0,1,0.049225,0.049727,0.048182,0,0.050119,0.050234,0.0720426372024748
"2",1,0.2,0.8,1.04437844698648,0.791566,0.309889,0.291923,0,0.677156,0.794075,0.0721436519092984
"3",1,0.2,1,1.0554730587331,0.911679,0.415402,0.387222,0.2,0.832881,0.913,0.0723627738820182
"4",1,0.2,1.1,1.06102036460641,0.94437,0.470912,0.436954,0.1,0.880497,0.945105,0.0716527103053199
"5",1,0.8,0,1,0.049829,0.049588,0.048078,0.2,0.049797,0.050098,0.0723760039276547
"6",1,0.8,0.8,1.17751378794592,0.880668,0.283801,0.260694,0.1,0.877347,0.880765,0.0723158658213086
"7",1,0.8,1,1.2218922349324,0.94924,0.370912,0.335044,0.2,0.947166,0.949239,0.0719929144117567
"8",1,0.8,1.1,1.24408145842564,0.966828,0.415718,0.373366,0.2,0.965275,0.966803,0.0721869224972195
"9",5,0.2,0,5,0.049654,0.050064,0.048432,0.1,0.049575,0.050101,0.0723034399747848
"10",5,0.2,0.8,5.2218922349324,0.820565,0.310003,0.292403,0,0.67722,0.793954,0.0722600780593024
"11",5,0.2,1,5.2773652936655,0.924917,0.414796,0.385964,0.1,0.833422,0.912854,0.072023220260938
"12",5,0.2,1.1,5.30510182303205,0.952037,0.47124,0.437177,0.1,0.880277,0.944775,0.0721985597080655
"13",5,0.8,0,5,0.04994,0.049593,0.048095,0,0.049843,0.050113,0.0721918877628114
"14",5,0.8,0.8,5.8875689397296,0.883705,0.282629,0.26014,0.1,0.877249,0.880612,0.0721900466415617
"15",5,0.8,1,6.10946117466201,0.953005,0.37018,0.334668,0.4,0.947197,0.94933,0.0720347233613332
"16",5,0.8,1.1,6.22040729212821,0.969422,0.415749,0.373441,0.1,0.965045,0.966639,0.0721394508414798
